transaction_id,sale_date,product_id,units_sold,store_region,total_revenue
TXN-SALE-00020-101,2024-07-17,101,11,East,13200.0
TXN-SALE-00020-102,2024-07-17,102,23,South,1035.0
TXN-SALE-00020-103,2024-07-17,103,6,South,1500.0
TXN-SALE-00020-104,2024-07-17,104,17,South,1105.0
TXN-SALE-00021-101,2024-07-18,101,10,West,12000.0
TXN-SALE-00021-102,2024-07-18,102,16,West,720.0
TXN-SALE-00021-103,2024-07-18,103,24,South,6000.0
TXN-SALE-00021-104,2024-07-18,104,15,West,975.0
TXN-SALE-00022-101,2024-07-19,101,11,South,13200.0
TXN-SALE-00022-102,2024-07-19,102,5,North,225.0
TXN-SALE-00022-103,2024-07-19,103,24,North,6000.0
TXN-SALE-00022-104,2024-07-19,104,13,East,845.0
TXN-SALE-00023-101,2024-07-20,101,14,South,16800.0
TXN-SALE-00023-102,2024-07-20,102,15,East,675.0
TXN-SALE-00023-103,2024-07-20,103,17,South,4250.0
TXN-SALE-00023-104,2024-07-20,104,11,North,715.0
TXN-SALE-00024-101,2024-07-21,101,30,South,36000.0
TXN-SALE-00024-102,2024-07-21,102,21,West,945.0
TXN-SALE-00024-103,2024-07-21,103,25,East,6250.0
TXN-SALE-00024-104,2024-07-21,104,17,West,1105.0
TXN-SALE-00025-101,2024-07-22,101,21,South,25200.0
TXN-SALE-00025-102,2024-07-22,102,21,South,945.0
TXN-SALE-00025-103,2024-07-22,103,24,West,6000.0
TXN-SALE-00025-104,2024-07-22,104,11,South,715.0
TXN-SALE-00026-101,2024-07-23,101,7,North,8400.0
TXN-SALE-00026-102,2024-07-23,102,9,North,405.0
TXN-SALE-00026-103,2024-07-23,103,21,East,5250.0
TXN-SALE-00026-104,2024-07-23,104,21,South,1365.0
TXN-SALE-00027-101,2024-07-24,101,6,West,7200.0
TXN-SALE-00027-102,2024-07-24,102,9,West,405.0
TXN-SALE-00027-103,2024-07-24,103,5,North,1250.0
TXN-SALE-00027-104,2024-07-24,104,23,South,1495.0
TXN-SALE-00028-101,2024-07-25,101,6,North,7200.0
TXN-SALE-00028-102,2024-07-25,102,16,South,720.0
TXN-SALE-00028-103,2024-07-25,103,10,West,2500.0
TXN-SALE-00028-104,2024-07-25,104,8,East,520.0
TXN-SALE-00029-101,2024-07-26,101,15,West,18000.0
TXN-SALE-00029-102,2024-07-26,102,21,East,945.0
TXN-SALE-00029-103,2024-07-26,103,10,West,2500.0
TXN-SALE-00029-104,2024-07-26,104,9,West,585.0
TXN-SALE-00030-101,2024-07-27,101,8,South,9600.0
TXN-SALE-00030-102,2024-07-27,102,20,East,900.0
TXN-SALE-00030-103,2024-07-27,103,26,West,6500.0
TXN-SALE-00030-104,2024-07-27,104,6,North,390.0
TXN-SALE-00031-101,2024-07-28,101,13,West,15600.0
TXN-SALE-00031-102,2024-07-28,102,9,West,405.0
TXN-SALE-00031-103,2024-07-28,103,10,East,2500.0
TXN-SALE-00031-104,2024-07-28,104,9,East,585.0
TXN-SALE-00032-101,2024-07-29,101,23,West,27600.0
TXN-SALE-00032-102,2024-07-29,102,11,West,495.0
TXN-SALE-00032-103,2024-07-29,103,13,North,3250.0
TXN-SALE-00032-104,2024-07-29,104,12,West,780.0
TXN-SALE-00033-101,2024-07-30,101,11,South,13200.0
TXN-SALE-00033-102,2024-07-30,102,12,North,540.0
TXN-SALE-00033-103,2024-07-30,103,15,West,3750.0
TXN-SALE-00033-104,2024-07-30,104,22,East,1430.0
TXN-SALE-00034-101,2024-07-31,101,14,East,16800.0
TXN-SALE-00034-102,2024-07-31,102,11,West,495.0
TXN-SALE-00034-103,2024-07-31,103,20,South,5000.0
TXN-SALE-00034-104,2024-07-31,104,20,North,1300.0
TXN-SALE-00035-101,2024-08-01,101,24,West,28800.0
TXN-SALE-00035-102,2024-08-01,102,21,South,945.0
TXN-SALE-00035-103,2024-08-01,103,5,West,1250.0
TXN-SALE-00035-104,2024-08-01,104,16,North,1040.0
TXN-SALE-00036-101,2024-08-02,101,9,West,10800.0
TXN-SALE-00036-102,2024-08-02,102,13,North,585.0
TXN-SALE-00036-103,2024-08-02,103,7,East,1750.0
TXN-SALE-00036-104,2024-08-02,104,20,West,1300.0
TXN-SALE-00037-101,2024-08-03,101,9,West,10800.0
TXN-SALE-00037-102,2024-08-03,102,6,West,270.0
TXN-SALE-00037-103,2024-08-03,103,32,East,8000.0
TXN-SALE-00037-104,2024-08-03,104,28,West,1820.0
TXN-SALE-00038-101,2024-08-04,101,10,South,12000.0
TXN-SALE-00038-102,2024-08-04,102,16,West,720.0
TXN-SALE-00038-103,2024-08-04,103,9,West,2250.0
TXN-SALE-00038-104,2024-08-04,104,9,North,585.0
TXN-SALE-00039-101,2024-08-05,101,22,West,26400.0
TXN-SALE-00039-102,2024-08-05,102,18,South,810.0
TXN-SALE-00039-103,2024-08-05,103,6,South,1500.0
TXN-SALE-00039-104,2024-08-05,104,7,West,455.0
TXN-SALE-00040-101,2024-08-06,101,13,West,15600.0
TXN-SALE-00040-102,2024-08-06,102,5,West,225.0
TXN-SALE-00040-103,2024-08-06,103,5,South,1250.0
TXN-SALE-00040-104,2024-08-06,104,20,West,1300.0
TXN-SALE-00041-101,2024-08-07,101,12,East,14400.0
TXN-SALE-00041-102,2024-08-07,102,7,North,315.0
TXN-SALE-00041-103,2024-08-07,103,5,West,1250.0
TXN-SALE-00041-104,2024-08-07,104,16,East,1040.0
TXN-SALE-00042-101,2024-08-08,101,23,South,27600.0
TXN-SALE-00042-102,2024-08-08,102,18,South,810.0
TXN-SALE-00042-103,2024-08-08,103,10,South,2500.0
TXN-SALE-00042-104,2024-08-08,104,17,East,1105.0
TXN-SALE-00043-101,2024-08-09,101,12,East,14400.0
TXN-SALE-00043-102,2024-08-09,102,6,North,270.0
TXN-SALE-00043-103,2024-08-09,103,5,West,1250.0
TXN-SALE-00043-104,2024-08-09,104,19,West,1235.0
TXN-SALE-00044-101,2024-08-10,101,6,North,7200.0
TXN-SALE-00044-102,2024-08-10,102,27,East,1215.0
TXN-SALE-00044-103,2024-08-10,103,10,East,2500.0
TXN-SALE-00044-104,2024-08-10,104,28,West,1820.0
TXN-SALE-00045-101,2024-08-11,101,28,West,33600.0
TXN-SALE-00045-102,2024-08-11,102,24,North,1080.0
TXN-SALE-00045-103,2024-08-11,103,13,East,3250.0
TXN-SALE-00045-104,2024-08-11,104,17,North,1105.0
TXN-SALE-00046-101,2024-08-12,101,21,South,25200.0
TXN-SALE-00046-102,2024-08-12,102,7,West,315.0
TXN-SALE-00046-103,2024-08-12,103,5,West,1250.0
TXN-SALE-00046-104,2024-08-12,104,5,West,325.0
TXN-SALE-00047-101,2024-08-13,101,7,West,8400.0
TXN-SALE-00047-102,2024-08-13,102,23,North,1035.0
TXN-SALE-00047-103,2024-08-13,103,14,East,3500.0
TXN-SALE-00047-104,2024-08-13,104,7,West,455.0
TXN-SALE-00048-101,2024-08-14,101,18,West,21600.0
TXN-SALE-00048-102,2024-08-14,102,23,West,1035.0
TXN-SALE-00048-103,2024-08-14,103,19,South,4750.0
TXN-SALE-00048-104,2024-08-14,104,6,East,390.0
TXN-SALE-00049-101,2024-08-15,101,14,South,16800.0
TXN-SALE-00049-102,2024-08-15,102,22,West,990.0
TXN-SALE-00049-103,2024-08-15,103,5,North,1250.0
TXN-SALE-00049-104,2024-08-15,104,15,South,975.0
TXN-SALE-00050-101,2024-08-16,101,21,East,25200.0
TXN-SALE-00050-102,2024-08-16,102,14,East,630.0
TXN-SALE-00050-103,2024-08-16,103,7,South,1750.0
TXN-SALE-00050-104,2024-08-16,104,17,West,1105.0
TXN-SALE-00051-101,2024-08-17,101,15,North,18000.0
TXN-SALE-00051-102,2024-08-17,102,10,North,450.0
TXN-SALE-00051-103,2024-08-17,103,32,North,8000.0
TXN-SALE-00051-104,2024-08-17,104,16,West,1040.0
TXN-SALE-00052-101,2024-08-18,101,24,West,28800.0
TXN-SALE-00052-102,2024-08-18,102,24,West,1080.0
TXN-SALE-00052-103,2024-08-18,103,31,East,7750.0
TXN-SALE-00052-104,2024-08-18,104,25,West,1625.0
TXN-SALE-00053-101,2024-08-19,101,6,South,7200.0
TXN-SALE-00053-102,2024-08-19,102,24,North,1080.0
TXN-SALE-00053-103,2024-08-19,103,22,West,5500.0
TXN-SALE-00053-104,2024-08-19,104,14,South,910.0
TXN-SALE-00054-101,2024-08-20,101,20,South,24000.0
TXN-SALE-00054-102,2024-08-20,102,15,West,675.0
TXN-SALE-00054-103,2024-08-20,103,9,North,2250.0
TXN-SALE-00054-104,2024-08-20,104,12,North,780.0
TXN-SALE-00055-101,2024-08-21,101,16,West,19200.0
TXN-SALE-00055-102,2024-08-21,102,9,East,405.0
TXN-SALE-00055-103,2024-08-21,103,8,South,2000.0
TXN-SALE-00055-104,2024-08-21,104,17,West,1105.0
TXN-SALE-00056-101,2024-08-22,101,25,South,30000.0
TXN-SALE-00056-102,2024-08-22,102,20,East,900.0
TXN-SALE-00056-103,2024-08-22,103,12,West,3000.0
TXN-SALE-00056-104,2024-08-22,104,21,North,1365.0
TXN-SALE-00057-101,2024-08-23,101,23,West,27600.0
TXN-SALE-00057-102,2024-08-23,102,14,South,630.0
TXN-SALE-00057-103,2024-08-23,103,24,North,6000.0
TXN-SALE-00057-104,2024-08-23,104,24,West,1560.0
TXN-SALE-00058-101,2024-08-24,101,12,South,14400.0
TXN-SALE-00058-102,2024-08-24,102,17,West,765.0
TXN-SALE-00058-103,2024-08-24,103,6,South,1500.0
TXN-SALE-00058-104,2024-08-24,104,6,East,390.0
TXN-SALE-00059-101,2024-08-25,101,8,West,9600.0
TXN-SALE-00059-102,2024-08-25,102,27,North,1215.0
TXN-SALE-00059-103,2024-08-25,103,16,North,4000.0
TXN-SALE-00059-104,2024-08-25,104,6,West,390.0
TXN-SALE-00060-101,2024-08-26,101,11,West,13200.0
TXN-SALE-00060-102,2024-08-26,102,9,South,405.0
TXN-SALE-00060-103,2024-08-26,103,7,West,1750.0
TXN-SALE-00060-104,2024-08-26,104,21,East,1365.0
TXN-SALE-00061-101,2024-08-27,101,9,South,10800.0
TXN-SALE-00061-102,2024-08-27,102,19,West,855.0
TXN-SALE-00061-103,2024-08-27,103,9,East,2250.0
TXN-SALE-00061-104,2024-08-27,104,22,South,1430.0
TXN-SALE-00062-101,2024-08-28,101,19,South,22800.0
TXN-SALE-00062-102,2024-08-28,102,25,North,1125.0
TXN-SALE-00062-103,2024-08-28,103,16,West,4000.0
TXN-SALE-00062-104,2024-08-28,104,21,North,1365.0
TXN-SALE-00063-101,2024-08-29,101,11,West,13200.0
TXN-SALE-00063-102,2024-08-29,102,5,South,225.0
TXN-SALE-00063-103,2024-08-29,103,9,East,2250.0
TXN-SALE-00063-104,2024-08-29,104,14,South,910.0
TXN-SALE-00064-101,2024-08-30,101,9,West,10800.0
TXN-SALE-00064-102,2024-08-30,102,6,West,270.0
TXN-SALE-00064-103,2024-08-30,103,14,South,3500.0
TXN-SALE-00064-104,2024-08-30,104,24,South,1560.0
TXN-SALE-00065-101,2024-08-31,101,6,West,7200.0
TXN-SALE-00065-102,2024-08-31,102,12,North,540.0
TXN-SALE-00065-103,2024-08-31,103,11,West,2750.0
TXN-SALE-00065-104,2024-08-31,104,27,East,1755.0
TXN-SALE-00066-101,2024-09-01,101,8,North,9600.0
TXN-SALE-00066-102,2024-09-01,102,33,West,1485.0
TXN-SALE-00066-103,2024-09-01,103,22,South,5500.0
TXN-SALE-00066-104,2024-09-01,104,9,West,585.0
TXN-SALE-00067-101,2024-09-02,101,5,North,6000.0
TXN-SALE-00067-102,2024-09-02,102,24,East,1080.0
TXN-SALE-00067-103,2024-09-02,103,9,West,2250.0
TXN-SALE-00067-104,2024-09-02,104,7,North,455.0
TXN-SALE-00068-101,2024-09-03,101,5,West,6000.0
TXN-SALE-00068-102,2024-09-03,102,14,East,630.0
TXN-SALE-00068-103,2024-09-03,103,17,North,4250.0
TXN-SALE-00068-104,2024-09-03,104,18,West,1170.0
TXN-SALE-00069-101,2024-09-04,101,19,South,22800.0
TXN-SALE-00069-102,2024-09-04,102,24,South,1080.0
TXN-SALE-00069-103,2024-09-04,103,7,East,1750.0
TXN-SALE-00069-104,2024-09-04,104,22,South,1430.0
TXN-SALE-00070-101,2024-09-05,101,12,North,14400.0
TXN-SALE-00070-102,2024-09-05,102,14,South,630.0
TXN-SALE-00070-103,2024-09-05,103,6,East,1500.0
TXN-SALE-00070-104,2024-09-05,104,13,East,845.0
TXN-SALE-00071-101,2024-09-06,101,8,South,9600.0
TXN-SALE-00071-102,2024-09-06,102,23,North,1035.0
TXN-SALE-00071-103,2024-09-06,103,16,North,4000.0
TXN-SALE-00071-104,2024-09-06,104,8,North,520.0
TXN-SALE-00072-101,2024-09-07,101,11,South,13200.0
TXN-SALE-00072-102,2024-09-07,102,12,North,540.0
TXN-SALE-00072-103,2024-09-07,103,9,North,2250.0
TXN-SALE-00072-104,2024-09-07,104,9,West,585.0
TXN-SALE-00073-101,2024-09-08,101,11,South,13200.0
TXN-SALE-00073-102,2024-09-08,102,29,East,1305.0
TXN-SALE-00073-103,2024-09-08,103,12,West,3000.0
TXN-SALE-00073-104,2024-09-08,104,29,East,1885.0
TXN-SALE-00074-101,2024-09-09,101,18,East,21600.0
TXN-SALE-00074-102,2024-09-09,102,7,North,315.0
TXN-SALE-00074-103,2024-09-09,103,22,North,5500.0
TXN-SALE-00074-104,2024-09-09,104,25,West,1625.0
TXN-SALE-00075-101,2024-09-10,101,18,East,21600.0
TXN-SALE-00075-102,2024-09-10,102,24,North,1080.0
TXN-SALE-00075-103,2024-09-10,103,8,West,2000.0
TXN-SALE-00075-104,2024-09-10,104,13,East,845.0
TXN-SALE-00076-101,2024-09-11,101,17,North,20400.0
TXN-SALE-00076-102,2024-09-11,102,11,West,495.0
TXN-SALE-00076-103,2024-09-11,103,19,East,4750.0
TXN-SALE-00076-104,2024-09-11,104,25,East,1625.0
TXN-SALE-00077-101,2024-09-12,101,20,West,24000.0
TXN-SALE-00077-102,2024-09-12,102,9,East,405.0
TXN-SALE-00077-103,2024-09-12,103,17,North,4250.0
TXN-SALE-00077-104,2024-09-12,104,25,East,1625.0
TXN-SALE-00078-101,2024-09-13,101,8,North,9600.0
TXN-SALE-00078-102,2024-09-13,102,21,North,945.0
TXN-SALE-00078-103,2024-09-13,103,11,North,2750.0
TXN-SALE-00078-104,2024-09-13,104,15,South,975.0
TXN-SALE-00079-101,2024-09-14,101,15,South,18000.0
TXN-SALE-00079-102,2024-09-14,102,12,East,540.0
TXN-SALE-00079-103,2024-09-14,103,21,East,5250.0
TXN-SALE-00079-104,2024-09-14,104,30,East,1950.0
TXN-SALE-00080-101,2024-09-15,101,22,North,26400.0
TXN-SALE-00080-102,2024-09-15,102,19,South,855.0
TXN-SALE-00080-103,2024-09-15,103,22,North,5500.0
TXN-SALE-00080-104,2024-09-15,104,14,East,910.0
TXN-SALE-00081-101,2024-09-16,101,19,North,22800.0
TXN-SALE-00081-102,2024-09-16,102,12,South,540.0
TXN-SALE-00081-103,2024-09-16,103,14,South,3500.0
TXN-SALE-00081-104,2024-09-16,104,6,North,390.0
TXN-SALE-00082-101,2024-09-17,101,9,South,10800.0
TXN-SALE-00082-102,2024-09-17,102,24,West,1080.0
TXN-SALE-00082-103,2024-09-17,103,21,North,5250.0
TXN-SALE-00082-104,2024-09-17,104,5,South,325.0
TXN-SALE-00083-101,2024-09-18,101,25,North,30000.0
TXN-SALE-00083-102,2024-09-18,102,11,North,495.0
TXN-SALE-00083-103,2024-09-18,103,18,West,4500.0
TXN-SALE-00083-104,2024-09-18,104,8,South,520.0
TXN-SALE-00084-101,2024-09-19,101,24,North,28800.0
TXN-SALE-00084-102,2024-09-19,102,17,South,765.0
TXN-SALE-00084-103,2024-09-19,103,11,East,2750.0
TXN-SALE-00084-104,2024-09-19,104,15,South,975.0
TXN-SALE-00085-101,2024-09-20,101,24,East,28800.0
TXN-SALE-00085-102,2024-09-20,102,7,North,315.0
TXN-SALE-00085-103,2024-09-20,103,18,South,4500.0
TXN-SALE-00085-104,2024-09-20,104,26,West,1690.0
TXN-SALE-00086-101,2024-09-21,101,16,North,19200.0
TXN-SALE-00086-102,2024-09-21,102,18,East,810.0
TXN-SALE-00086-103,2024-09-21,103,7,East,1750.0
TXN-SALE-00086-104,2024-09-21,104,24,West,1560.0
TXN-SALE-00087-101,2024-09-22,101,29,North,34800.0
TXN-SALE-00087-102,2024-09-22,102,7,South,315.0
TXN-SALE-00087-103,2024-09-22,103,14,South,3500.0
TXN-SALE-00087-104,2024-09-22,104,22,North,1430.0
TXN-SALE-00088-101,2024-09-23,101,18,North,21600.0
TXN-SALE-00088-102,2024-09-23,102,20,North,900.0
TXN-SALE-00088-103,2024-09-23,103,21,South,5250.0
TXN-SALE-00088-104,2024-09-23,104,16,West,1040.0
TXN-SALE-00089-101,2024-09-24,101,9,West,10800.0
TXN-SALE-00089-102,2024-09-24,102,7,East,315.0
TXN-SALE-00089-103,2024-09-24,103,26,North,6500.0
TXN-SALE-00089-104,2024-09-24,104,23,East,1495.0
TXN-SALE-00090-101,2024-09-25,101,14,North,16800.0
TXN-SALE-00090-102,2024-09-25,102,19,East,855.0
TXN-SALE-00090-103,2024-09-25,103,5,North,1250.0
TXN-SALE-00090-104,2024-09-25,104,7,West,455.0
TXN-SALE-00091-101,2024-09-26,101,16,West,19200.0
TXN-SALE-00091-102,2024-09-26,102,15,West,675.0
TXN-SALE-00091-103,2024-09-26,103,21,West,5250.0
TXN-SALE-00091-104,2024-09-26,104,10,West,650.0
TXN-SALE-00092-101,2024-09-27,101,13,South,15600.0
TXN-SALE-00092-102,2024-09-27,102,8,South,360.0
TXN-SALE-00092-103,2024-09-27,103,13,South,3250.0
TXN-SALE-00092-104,2024-09-27,104,24,West,1560.0
TXN-SALE-00093-101,2024-09-28,101,12,North,14400.0
TXN-SALE-00093-102,2024-09-28,102,11,West,495.0
TXN-SALE-00093-103,2024-09-28,103,29,North,7250.0
TXN-SALE-00093-104,2024-09-28,104,7,North,455.0
TXN-SALE-00094-101,2024-09-29,101,34,North,40800.0
TXN-SALE-00094-102,2024-09-29,102,28,North,1260.0
TXN-SALE-00094-103,2024-09-29,103,24,South,6000.0
TXN-SALE-00094-104,2024-09-29,104,9,North,585.0
TXN-SALE-00095-101,2024-09-30,101,10,South,12000.0
TXN-SALE-00095-102,2024-09-30,102,25,West,1125.0
TXN-SALE-00095-103,2024-09-30,103,9,East,2250.0
TXN-SALE-00095-104,2024-09-30,104,6,South,390.0
TXN-SALE-00096-101,2024-10-01,101,24,East,28800.0
TXN-SALE-00096-102,2024-10-01,102,18,North,810.0
TXN-SALE-00096-103,2024-10-01,103,5,South,1250.0
TXN-SALE-00096-104,2024-10-01,104,5,South,325.0
TXN-SALE-00097-101,2024-10-02,101,20,North,24000.0
TXN-SALE-00097-102,2024-10-02,102,16,North,720.0
TXN-SALE-00097-103,2024-10-02,103,23,North,5750.0
TXN-SALE-00097-104,2024-10-02,104,5,South,325.0
TXN-SALE-00098-101,2024-10-03,101,14,East,16800.0
TXN-SALE-00098-102,2024-10-03,102,5,North,225.0
TXN-SALE-00098-103,2024-10-03,103,21,East,5250.0
TXN-SALE-00098-104,2024-10-03,104,10,West,650.0
TXN-SALE-00099-101,2024-10-04,101,23,North,27600.0
TXN-SALE-00099-102,2024-10-04,102,9,South,405.0
TXN-SALE-00099-103,2024-10-04,103,7,North,1750.0
TXN-SALE-00099-104,2024-10-04,104,9,North,585.0
TXN-SALE-00100-101,2024-10-05,101,12,South,14400.0
TXN-SALE-00100-102,2024-10-05,102,20,East,900.0
TXN-SALE-00100-103,2024-10-05,103,30,North,7500.0
TXN-SALE-00100-104,2024-10-05,104,25,North,1625.0
TXN-SALE-00101-101,2024-10-06,101,25,North,30000.0
TXN-SALE-00101-102,2024-10-06,102,32,North,1440.0
TXN-SALE-00101-103,2024-10-06,103,24,West,6000.0
TXN-SALE-00101-104,2024-10-06,104,7,North,455.0
TXN-SALE-00102-101,2024-10-07,101,13,West,15600.0
TXN-SALE-00102-102,2024-10-07,102,6,West,270.0
TXN-SALE-00102-103,2024-10-07,103,13,East,3250.0
TXN-SALE-00102-104,2024-10-07,104,6,South,390.0
TXN-SALE-00103-101,2024-10-08,101,7,East,8400.0
TXN-SALE-00103-102,2024-10-08,102,24,West,1080.0
TXN-SALE-00103-103,2024-10-08,103,5,South,1250.0
TXN-SALE-00103-104,2024-10-08,104,17,North,1105.0
TXN-SALE-00104-101,2024-10-09,101,23,West,27600.0
TXN-SALE-00104-102,2024-10-09,102,20,East,900.0
TXN-SALE-00104-103,2024-10-09,103,20,North,5000.0
TXN-SALE-00104-104,2024-10-09,104,19,South,1235.0
TXN-SALE-00105-101,2024-10-10,101,16,East,19200.0
TXN-SALE-00105-102,2024-10-10,102,12,South,540.0
TXN-SALE-00105-103,2024-10-10,103,6,South,1500.0
TXN-SALE-00105-104,2024-10-10,104,24,South,1560.0
TXN-SALE-00106-101,2024-10-11,101,24,South,28800.0
TXN-SALE-00106-102,2024-10-11,102,21,East,945.0
TXN-SALE-00106-103,2024-10-11,103,25,East,6250.0
TXN-SALE-00106-104,2024-10-11,104,6,West,390.0
TXN-SALE-00107-101,2024-10-12,101,14,North,16800.0
TXN-SALE-00107-102,2024-10-12,102,27,West,1215.0
TXN-SALE-00107-103,2024-10-12,103,20,East,5000.0
TXN-SALE-00107-104,2024-10-12,104,30,North,1950.0
TXN-SALE-00108-101,2024-10-13,101,11,South,13200.0
TXN-SALE-00108-102,2024-10-13,102,30,South,1350.0
TXN-SALE-00108-103,2024-10-13,103,30,West,7500.0
TXN-SALE-00108-104,2024-10-13,104,34,West,2210.0
TXN-SALE-00109-101,2024-10-14,101,9,South,10800.0
TXN-SALE-00109-102,2024-10-14,102,11,North,495.0
TXN-SALE-00109-103,2024-10-14,103,6,North,1500.0
TXN-SALE-00109-104,2024-10-14,104,16,East,1040.0
TXN-SALE-00110-101,2024-10-15,101,22,East,26400.0
TXN-SALE-00110-102,2024-10-15,102,25,East,1125.0
TXN-SALE-00110-103,2024-10-15,103,22,East,5500.0
TXN-SALE-00110-104,2024-10-15,104,16,South,1040.0
TXN-SALE-00111-101,2024-10-16,101,22,West,26400.0
TXN-SALE-00111-102,2024-10-16,102,8,West,360.0
TXN-SALE-00111-103,2024-10-16,103,8,West,2000.0
TXN-SALE-00111-104,2024-10-16,104,7,West,455.0
TXN-SALE-00112-101,2024-10-17,101,7,East,8400.0
TXN-SALE-00112-102,2024-10-17,102,24,North,1080.0
TXN-SALE-00112-103,2024-10-17,103,25,East,6250.0
TXN-SALE-00112-104,2024-10-17,104,10,South,650.0
TXN-SALE-00113-101,2024-10-18,101,15,North,18000.0
TXN-SALE-00113-102,2024-10-18,102,11,North,495.0
